,White_Name,White_Age,White_Rating,White_Title,Black_Name,Black_Age,Black_Rating,Black_Title,Result_White,White_Age_Squared,White_Rating_Squared,White_Age_Rating_CP,Black_Age_Squared,Black_Rating_Squared,Black_Age_Rating_CP
1,"Carlsen,Magnus",5.5,9.316666667,GM,"Petrov,Nikita",4.5,6.741666667,GM,0.5,30.25,86.80027778,51.24166667,20.25,45.45006944,30.3375
2,"Bryakin,Mikhail",4.333333333,6.733333333,GM,"Nepomniachtchi,Ian",5.5,8.983333333,GM,0.5,18.77777778,45.33777778,29.17777778,30.25,80.70027778,49.40833333
3,"Duda,Jan-Krzysztof",4.166666667,8.933333333,GM,"Khismatullin,Denis",6.5,6.725,GM,0.5,17.36111111,79.80444444,37.22222222,42.25,45.225625,43.7125
4,"Makhnev,Denis",3.833333333,6.7,GM,"Vachier-Lagrave,Maxime",5.5,8.891666667,GM,0.5,14.69444444,44.89,25.68333333,30.25,79.06173611,48.90416667
5,"Aronian,Levon",6.833333333,8.85,GM,"Riazantsev,Alexander",6.333333333,6.7,GM,1,46.69444444,78.3225,60.475,40.11111111,44.89,42.43333333
6,"Zeng,Chongsheng",5,6.675,GM,"Caruana,Fabiano",5.166666667,8.85,GM,0.5,25,44.555625,33.375,26.69444444,78.3225,45.725
7,"Svidler,Peter",7.833333333,8.641666667,GM,"Jumabayev,Rinat",5.666666667,6.666666667,GM,1,61.36111111,74.67840278,67.69305556,32.11111111,44.44444444,37.77777778
8,"Asadli,Vugar",3.666666667,6.658333333,GM,"Rapport,Richard",4.5,8.625,GM,0,13.44444444,44.33340278,24.41388889,20.25,74.390625,38.8125
9,"Abdusattorov,Nodirbek",3.166666667,8.558333333,GM,"Vrolijk,Liam",3.5,6.65,GM,1,10.02777778,73.24506944,27.10138889,12.25,44.2225,23.275
10,"Kezin,Roman",4.666666667,6.641666667,IM,"Artemiev,Vladislav",4.166666667,8.508333333,GM,1,21.77777778,44.11173611,30.99444444,17.36111111,72.39173611,35.45138889
11,"Fedoseev,Vladimir",4.666666667,8.466666667,GM,"Christiansen,Johan-Sebastian",4.166666667,6.616666667,GM,1,21.77777778,71.68444444,39.51111111,17.36111111,43.78027778,27.56944444
12,"Grigoriants,Sergey",6.666666667,6.608333333,GM,"Mamedyarov,Shakhriyar",6.333333333,8.458333333,GM,0.5,44.44444444,43.67006944,44.05555556,40.11111111,71.54340278,53.56944444
13,"Dubov,Daniil",4.5,8.433333333,GM,"Makarian,Rudik",3.166666667,6.608333333,IM,1,20.25,71.12111111,37.95,10.02777778,43.67006944,20.92638889
14,"Smirnov,Anton",3.666666667,6.55,GM,"Praggnanandhaa,R",3,8.383333333,GM,0.5,13.44444444,42.9025,24.01666667,9,70.28027778,25.15
15,"Yu,Yangyi",4.833333333,8.325,GM,"VanForeest,Lucas",3.666666667,6.533333333,GM,1,23.36111111,69.305625,40.2375,13.44444444,42.68444444,23.95555556
16,"Sychev,Klementy",4.5,6.508333333,GM,"Giri,Anish",4.833333333,8.316666667,GM,1,20.25,42.35840278,29.2875,23.36111111,69.16694444,40.19722222
17,"Radjabov,Teimour",6,8.258333333,GM,"Iljiushenok,Ilia",5,6.5,GM,0,36,68.20006944,49.55,25,42.25,32.5
18,"Amar,Elham",3,6.458333333,IM,"Vidit,SantoshGujrathi",4.833333333,8.258333333,GM,0,9,41.71006944,19.375,23.36111111,68.20006944,39.91527778
19,"Salem,A.R.Saleh",5,8.166666667,GM,"Bilguun,Sumiya",4.333333333,6.45,GM,1,25,66.69444444,40.83333333,18.77777778,41.6025,27.95
20,"Zilka,Stepan",5.833333333,6.45,GM,"Grischuk,Alexander",6.666666667,8.15,GM,0.5,34.02777778,41.6025,37.625,44.44444444,66.4225,54.33333333
21,"Esipenko,Andrey",3.5,8.141666667,GM,"Pranav,V",2.833333333,6.433333333,GM,1,12.25,66.28673611,28.49583333,8.027777778,41.38777778,18.22777778
22,"Kosakowski,Jakub",3.5,6.433333333,IM,"Jobava,Baadur",6.666666667,8.091666667,GM,1,12.25,41.38777778,22.51666667,44.44444444,65.47506944,53.94444444
23,"Nihal,Sarin",3.166666667,8.058333333,GM,"Terry,Renato",5.166666667,6.425,IM,1,10.02777778,64.93673611,25.51805556,26.69444444,41.280625,33.19583333
24,"Daneshvar,Bardiya",2.833333333,6.416666667,GM,"Gukesh,D",2.833333333,7.966666667,GM,1,8.027777778,41.17361111,18.18055556,8.027777778,63.46777778,22.57222222
25,"VanForeest,Jorden",4,7.958333333,GM,"Ruck,Robert",7.666666667,6.416666667,GM,1,16,63.33506944,31.83333333,58.77777778,41.17361111,49.19444444
26,"Zvjaginsev,Vadim",7.833333333,6.408333333,GM,"Erigaisi,Arjun",3.333333333,7.95,GM,0,61.36111111,41.06673611,50.19861111,11.11111111,63.2025,26.5
27,"Fressinet,Laurent",7,7.933333333,GM,"Grebnev,Aleksey",2.833333333,6.341666667,IM,0.5,49,62.93777778,55.53333333,8.027777778,40.21673611,17.96805556
28,"Pranesh,M",2.833333333,6.325,GM,"Brunello,Sabino",5.666666667,7.925,GM,0.5,8.027777778,40.005625,17.92083333,32.11111111,62.805625,44.90833333
29,"Sarana,Alexey",3.833333333,7.908333333,GM,"Muradli,Mahammad",3.333333333,6.258333333,GM,0.5,14.69444444,62.54173611,30.31527778,11.11111111,39.16673611,20.86111111
30,"Suleymenov,Alisher",3.833333333,6.216666667,GM,"Ganguly,SuryaShekhar",6.666666667,7.875,GM,0.5,14.69444444,38.64694444,23.83055556,44.44444444,62.015625,52.5
31,"Maghsoodloo,Parham",3.833333333,7.866666667,GM,"Nogerbek,Kazybek",3.166666667,6.216666667,IM,0.5,14.69444444,61.88444444,30.15555556,10.02777778,38.64694444,19.68611111
32,"Harutyunyan,TigranK.",4.333333333,6.158333333,GM,"Tomashevsky,Evgeny",6,7.85,GM,0,18.77777778,37.92506944,26.68611111,36,61.6225,47.1
33,"IturrizagaBonelli,Eduardo",5.666666667,7.791666667,GM,"Mitrabha,Guha",3.666666667,6.133333333,GM,0,32.11111111,60.71006944,44.15277778,13.44444444,37.61777778,22.48888889
34,"Hirneise,Jens",5.166666667,6.133333333,FM,"Martirosyan,HaikM.",3.833333333,7.783333333,GM,1,26.69444444,37.61777778,31.68888889,14.69444444,60.58027778,29.83611111
35,"Guseinov,Gadir",6.166666667,7.758333333,GM,"Gharibyan,Mamikon",3.166666667,6.058333333,GM,0.5,38.02777778,60.19173611,47.84305556,10.02777778,36.70340278,19.18472222
36,"Bharath,SubramaniyamH",2.666666667,6.05,GM,"Keymer,Vincent",3.166666667,7.758333333,GM,1,7.111111111,36.6025,16.13333333,10.02777778,60.19173611,24.56805556
37,"Andreikin,Dmitry",5.5,7.741666667,GM,"Karthik,Venkataraman",4,6.05,GM,0.5,30.25,59.93340278,42.57916667,16,36.6025,24.2
38,"GallegoAlcaraz,AndresFelipe",5.666666667,5.991666667,GM,"Kuzubov,Yuriy",5.5,7.716666667,GM,0,32.11111111,35.90006944,33.95277778,30.25,59.54694444,42.44166667
39,"AntonGuijarro,David",4.666666667,7.708333333,GM,"Galchenko,Matvey",3.833333333,5.966666667,IM,1,21.77777778,59.41840278,35.97222222,14.69444444,35.60111111,22.87222222
40,"Madaminov,Mukhiddin",2.833333333,5.958333333,IM,"Sindarov,Javokhir",3,7.708333333,GM,0,8.027777778,35.50173611,16.88194444,9,59.41840278,23.125
41,"Mamedov,Rauf",5.833333333,7.683333333,GM,"Drazic,Sinisa",9.333333333,5.933333333,GM,0.5,34.02777778,59.03361111,44.81944444,87.11111111,35.20444444,55.37777778
42,"Nasuta,Grzegorz",4.5,5.85,GM,"Shevchenko,Kirill",3.5,7.658333333,GM,0,20.25,34.2225,26.325,12.25,58.65006944,26.80416667
43,"Cheparinov,Ivan",6.166666667,7.65,GM,"Song,Raymond",4.833333333,5.85,GM,1,38.02777778,58.5225,47.175,23.36111111,34.2225,28.275
44,"Nigmatov,Ortik",3.833333333,5.816666667,IM,"Rakhmanov,Aleksandr",5.666666667,7.641666667,GM,1,14.69444444,33.83361111,22.29722222,32.11111111,58.39506944,43.30277778
45,"Matlakov,Maxim",5.333333333,7.633333333,GM,"Zhalmakhanov,Ramazan",3.5,5.791666667,IM,1,28.44444444,58.26777778,40.71111111,12.25,33.54340278,20.27083333
46,"Pingin,Artem",2.5,5.783333333,IM,"Vescovi,Giovanni",7.5,7.575,GM,1,6.25,33.44694444,14.45833333,56.25,57.380625,56.8125
47,"Niemann,HansMoke",3.333333333,7.55,GM,"Gaehwiler,Gabriel",4.833333333,5.7,IM,0,11.11111111,57.0025,25.16666667,23.36111111,32.49,27.55
48,"Agmanov,Zhandos",3.833333333,5.691666667,IM,"Petrosian,TigranL.",6.5,7.533333333,GM,0.5,14.69444444,32.39506944,21.81805556,42.25,56.75111111,48.96666667
49,"Chanda,Sandipan",6.666666667,7.516666667,GM,"Aditya,Mittal",2.833333333,5.675,GM,0.5,44.44444444,56.50027778,50.11111111,8.027777778,32.205625,16.07916667
50,"Averin,Nikolay",2.166666667,5.641666667,FM,"Korobov,Anton",6.333333333,7.508333333,GM,0,4.694444444,31.82840278,12.22361111,40.11111111,56.37506944,47.55277778
51,"Shimanov,Aleksandr",5.166666667,7.491666667,GM,"Uskov,Artem",2.166666667,5.633333333,IM,1,26.69444444,56.12506944,38.70694444,4.694444444,31.73444444,12.20555556
52,"Vetokhin,Savva",2.333333333,5.633333333,IM,"Xu,Xiangyu",4,7.483333333,GM,0,5.444444444,31.73444444,13.14444444,16,56.00027778,29.93333333
53,"Sargsyan,Shant",3.5,7.425,GM,"Gokerkan,CemKaan",3.833333333,5.541666667,GM,1,12.25,55.130625,25.9875,14.69444444,30.71006944,21.24305556
54,"Tsaruk,Maksim",3,5.533333333,FM,"HenriquezVillagra,Cristobal",4.5,7.416666667,GM,0,9,30.61777778,16.6,20.25,55.00694444,33.375
55,"Hovhannisyan,Robert",5.333333333,7.408333333,GM,"Tissir,Mohamed",7.833333333,5.483333333,IM,1,28.44444444,54.88340278,39.51111111,61.36111111,30.06694444,42.95277778
56,"Leiva,Gianmarco",4.666666667,5.425,IM,"Gareyev,Timur",5.833333333,7.4,GM,0,21.77777778,29.430625,25.31666667,34.02777778,54.76,43.16666667
57,"Chigaev,Maksim",4.5,7.391666667,GM,"Amilal,Munkhdalai",2.833333333,5.333333333,FM,1,20.25,54.63673611,33.2625,8.027777778,28.44444444,15.11111111
58,"Sattarov,Bobir",4.666666667,5.275,IM,"Narayanan,SL",4.166666667,7.383333333,GM,0,21.77777778,27.825625,24.61666667,17.36111111,54.51361111,30.76388889
59,"Predke,Alexandr",4.833333333,7.383333333,GM,"Abdisalimov,Abdimalik",3.5,5.25,GM,0,23.36111111,54.51361111,35.68611111,12.25,27.5625,18.375
60,"Seemann,Jakub",2.5,5.25,IM,"Sadhwani,Raunak",3,7.383333333,GM,1,6.25,27.5625,13.125,9,54.51361111,22.15
61,"Paravyan,David",4.166666667,7.366666667,GM,"Ansat,Aldiyar",2.5,5.208333333,IM,0,17.36111111,54.26777778,30.69444444,6.25,27.12673611,13.02083333
62,"Xue,Haowen",2.5,5.166666667,Untitled,"VasquezSchroeder,Rodrigo",9,7.35,GM,1,6.25,26.69444444,12.91666667,81,54.0225,66.15
63,"Ponkratov,Pavel",5.833333333,7.333333333,GM,"Saydaliev,Saidakbar",3.666666667,5.133333333,IM,1,34.02777778,53.77777778,42.77777778,13.44444444,26.35111111,18.82222222
64,"Gurel,Ediz",2.5,5.108333333,IM,"Najer,Evgeniy",7.666666667,7.325,GM,0,6.25,26.09506944,12.77083333,58.77777778,53.655625,56.15833333
65,"Xiu,Deshun",5.666666667,7.325,GM,"Mustafaev,Jamshid",5.333333333,5.108333333,Untitled,1,32.11111111,53.655625,41.50833333,28.44444444,26.09506944,27.24444444
66,"Ohanyan,Emin",2.833333333,5.016666667,IM,"Tabatabaei,M.Amin",3.666666667,7.3,GM,0,8.027777778,25.16694444,14.21388889,13.44444444,53.29,26.76666667
67,"Pichot,Alan",4.166666667,7.291666667,GM,"Haldorsen,Benjamin",4,5.008333333,IM,0.5,17.36111111,53.16840278,30.38194444,16,25.08340278,20.03333333
68,"Suyarov,Mukhammadzokhid",2.333333333,5,FM,"Aravindh,ChithambaramVr.",4,7.275,GM,0,5.444444444,25,11.66666667,16,52.925625,29.1
69,"Sjugirov,Sanan",5,7.258333333,GM,"Isanzhulov,Arystan",3.333333333,4.991666667,IM,0,25,52.68340278,36.29166667,11.11111111,24.91673611,16.63888889
70,"O`gorman,Tom",3.5,4.991666667,FM,"Yakubboev,Nodirbek",3.5,7.2,GM,0,12.25,24.91673611,17.47083333,12.25,51.84,25.2
71,"Gorovets,Andrey",6,7.191666667,GM,"Orozbaev,Eldiar",2.833333333,4.95,FM,0.5,36,51.72006944,43.15,8.027777778,24.5025,14.025
72,"Fayzullaev,Akmal",5.333333333,4.941666667,IM,"Petrosyan,Manuel",4.166666667,7.175,GM,0.5,28.44444444,24.42006944,26.35555556,17.36111111,51.480625,29.89583333
